country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Latvia,1991,13.1,22273740101.62717,10931.915610031201,74.6,63.73,69.0324390244,21.4972026546,66.4847448413,12.018052504,53.4983049824,2650581.0,816352.0,30.799
"Macao, SAR China",1991,4.179,3765249711.09098,10707.3786750774,80.052,75.497,77.904,24.2417550567,69.2313000752,6.5269448681,51.6483698488,351650.0,686.0,0.195
Morocco,1991,7.53,32285573573.918495,1292.2337646484,64.52,61.459,62.946,39.6094316492,57.2116899486,3.1788784022,49.9415984845,24799014.0,12618482.0,50.883
Moldova,1991,11.619,3094565870.64237,1037.8995033625,70.302,63.424,66.977,27.5761153352,63.8132113243,8.6106733405,53.5398999553,2981566.0,1590099.0,53.331
Madagascar,1991,14.036,3254713056.0217094,262.0244023805,53.768,51.039,52.357,45.7480880596,51.3433013896,2.9086105509,49.7705775938,12421412.0,9425492.0,75.881
Maldives,1991,7.493,244396761.92334,1054.3341382876,65.103,63.681,64.304,47.0756228929,50.1491577923,2.7752193148,47.4665769345,231802.0,172053.0,74.224
Middle East & North Africa,1991,6.7718579813,625846069210.135,2389.1598626247,68.0919725854,64.2773064,66.1241814314,42.1912011464,54.3758475032,3.4329513503,48.8889174251,261952362.0,119304335.0,45.5442866074
Mexico,1991,5.68,313139656145.74493,3708.8420548157,74.009,66.826,70.298,38.4050647057,57.4347805115,4.1601547828,50.8855773238,84430572.0,23795912.0,28.184
Marshall Islands,1991,7.111,82507000.0,1810.6346558989,65.383,59.714,62.282,49.6790475668,47.5788665167,2.7420859165,48.8325140449,45568.0,15770.0,34.608
Middle income,1991,8.7029412941,3052353519258.54,786.6647344941,65.6754333226,61.7590128303,63.6500923374,35.5572684777,59.8726180757,4.5701134466,49.3327806719,3880119936.0,2512447110.0,64.7852729756
North Macedonia,1991,7.497,4938775510.20408,2402.1351765638,74.283,69.522,71.8444390244,26.4904469566,66.0990255808,7.4105274626,51.3829320514,2055994.0,858706.0,41.766
Mali,1991,18.794,2724131458.26216,290.9499139862,47.58,46.844,47.216,46.9571596415,49.3716549118,3.6711854467,49.8502491966,9362888.0,7139108.0,76.249
Malta,1991,7.9,2750214990.78865,7558.7543893379,77.667,73.154,75.3554634146,23.1259669594,66.2208834963,10.6531495443,50.7520244741,363845.0,34576.0,9.503
Myanmar,1991,11.31,2069832686.9806097,51.240897061,59.639,54.542,57.014,35.8105622884,59.6561641031,4.5332736085,49.8550656612,40394154.0,30126768.0,74.582
Middle East & North Africa (excluding high income),1991,6.9686884562,332722921589.457,1390.3347826284,67.5822936546,63.6609158902,65.5817430181,42.628504744,53.9610108668,3.4104843892,49.2675911723,239311370.0,115119747.0,48.1045869467
Montenegro,1991,6.948,3617026917.411024,5847.622816343752,81.516,70.127,75.6826097561,25.3567024131,66.3897882959,8.253509291,51.3772531914,607105.0,308622.0,50.835
Mongolia,1991,10.016,2379018326.31579,1098.6801744555,62.004,56.599,59.237,40.9617127178,55.2926363557,3.7456509265,50.6962603415,2165342.0,931379.0,43.013
